"id","name","title","org","checksum"
"710","datasets/gov/kvjud/lu","Laivų apsilankymų uoste informacija","VĮ Klaipėdos valstybinio jūrų uosto direkcija","a5cec80574fbc1e4fa855506db8d7b51ad5d835a295ffb316037e4a4817f6a2b"
"1477","datasets/gov/lsd/svietimas/suaugusiuju","Suaugusiųjų švietimo statistinis tyrimas 2011 m.","Valstybės duomenų agentūra","a60d400625fbb0dcc6ba33a45ff15efa44b25c351bf4fba82d8d0233e9ef0f2a"
"1478","datasets/gov/lsd/svietimas/suaugusiuju","Suaugusiųjų švietimo statistinis tyrimas 2016 m.","Valstybės duomenų agentūra","a60d400625fbb0dcc6ba33a45ff15efa44b25c351bf4fba82d8d0233e9ef0f2a"
"1479","datasets/gov/lsd/sveikata","Gyventojų sveikatos statistinis tyrimas 2014 m.","Valstybės duomenų agentūra","1724cd47a621485f390fe79faab7deb1d611629e02e16cc0009c0bd1e631446f"
"1481","datasets/gov/sodra","Draudėjai","Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos","990e3554ed3c53c903ae86eb936d200defe15f5d1918103859bed2d4955896ec"
"1482","datasets/gov/sodra","Draudėjų skola","Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos","8feed5c3c9dac8bf2f7f88daf57773248d7ad07e3921e981caf1605d7cba7e04"
"996","datasets/gov/lst/terms","Standartų terminų bazė","Lietuvos standartizacijos departamentas","49fff7b177274bfe68e05606b4bc99482b3d839f3d59a6ae2cb11e96d81eea61"
"1476","datasets/gov/lsd/svietimas/suaugusiuju","Suaugusiųjų švietimo statistinis tyrimas","Valstybės duomenų agentūra","90df800e7edc874a48fd84f7256e1da8b7030698c99c193813a8cafc99663999"
"1574","datasets/gov/lsd/covid19","COVID-19 Studentų vakcinacija ir imunizacija pagal aukštąsias mokymosi įstaigas","Valstybės duomenų agentūra","6929f0933fa294908afad0f6730def3f4858097b5158fe09db439ec00b2f9064"
"1575","datasets/gov/lsd/covid19","COVID-19 Mokinių vakcinacija ir imunizacija","Valstybės duomenų agentūra","6929f0933fa294908afad0f6730def3f4858097b5158fe09db439ec00b2f9064"
"1576","datasets/gov/lsd/covid19","COVID-19 Studentų vakcinacija ir imunizacija pagal aukštąsias mokymosi įstaigas ir programas","Valstybės duomenų agentūra","6929f0933fa294908afad0f6730def3f4858097b5158fe09db439ec00b2f9064"
"1577","datasets/gov/lsd/covid19","COVID-19 statistika apie asmenis su negalia","Valstybės duomenų agentūra","6929f0933fa294908afad0f6730def3f4858097b5158fe09db439ec00b2f9064"
"1211","datasets/gov/regitra/tp","Lietuvoje įregistruotų kelių transporto priemonių duomenys","Valstybės įmonė „REGITRA“","ac955c859904bc878ad12138b46900526750ac4676b2186f073425fb577b7214"
"1480","datasets/gov/lsd/sveikata","Gyventojų sveikatos statistinis tyrimas ","Valstybės duomenų agentūra","afead7ff5e290de5e10a3b323a74ba605d870495cb67822162ad65438eb359fe"
"1622","datasets/gov/lsd/sveikata","Gyventojų sveikatos statistinio tyrimo duomenys","Valstybės duomenų agentūra","afead7ff5e290de5e10a3b323a74ba605d870495cb67822162ad65438eb359fe"
"1631","datasets/gov/lsd/namu_ukio_biudzetas/namu_ukio_biudzetas_2012","2012 metų namų ūkių biudžeto statistinis tyrimas","Valstybės duomenų agentūra","58a84fd148904df90f3ab26c5d33c7f29c1cf3c349c9d3afa73046a734b301d4"
"1632","datasets/gov/lsd/namu_ukio_biudzetas/namu_ukio_biudzetas_2016","2016 metų namų ūkių biudžeto statistinis tyrimas","Valstybės duomenų agentūra","db377bbb59125e220c6d6245919e78ca82078329a995f361bd42db7d85e805ce"
"762","datasets/gov/lst/standards","Lietuvos standartų ir kitų leidinių bibliografinių duomenų bazė","Lietuvos standartizacijos departamentas","b975072fd2d54c4ca650778d8faec1d84dbc1167e5e471948c7b61cf11378331"
"1557","datasets/gov/rc/ar/erdvvietpasikeitimai","Gyvenamųjų vietovių erdvinių duomenų pasikeitimų sąrašas per mėnesį","Valstybės įmonė Registrų centras","d6e9dacc1bfc967616531b736b499b1f0166e101b2606438f31b46c780caa6a6"
