id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description,,,
,datasets/gov/viesasis_transport/elektroninio_bilieto_sistema,,,,,,,,,,,,"VšĮ Žaliojo Regiono elektroninių bilietų pardavimai",,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,,,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,,,,
,,,,,,,,,,,,,,,,,
,,,,Kortele,,,korteles_id,,,,,,"VšĮ Žaliojo regiono elektroninių bilietų kortelių duomenys","Lentelėje pateikti elektroninio bilieto sistemos duomenys apie elektroninių bilietų korteles nuo 2023 metų, teikiami VšĮ Žaliojo regiono apie Jurbarko, Šilalės, Tauragės rajonus ir Pagėgius. Informacija atnaujinama kas mėnesį. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. Dėl techninių portalo veiklos sutrikimų prašome kreiptis el. paštu atviriduomenys@vssa.lt. ",,,
,,,,,korteles_id,string,,,,4,open,,Kortelės pirminis raktas,,,,
,,,,,korteles_nr,string,,,,4,open,,Kortelės numeris,,,,
,,,,,korteles_tipas,string,,,,4,open,,Kortelės tipas,,,,
,,,,,,enum,Fizinė,,,,,,"""Fizinė""",,,,
,,,,,,,Mobilioji,,,,,,"""Mobilioji""",,,,
,,,,,,,Mokinio pažymėjimas,,,,,,"""Mokinio pažymėjimas""",,,,
,,,,,korteles_busena,string,,,,4,open,,Kortelės statusas,,,,
,,,,,,enum,Neaktyvi,,,,,,"""Neaktyvi""",,,,
,,,,,,,Aktyvi,,,,,,"""Aktyvi""",,,,
,,,,,,,Blokuota,,,,,,"""Blokuota""",,,,
,,,,,lengvata,string,,,,4,open,,Kortelės lengvatos tipas,,,,
,,,,,korteles_pridejimo_data,datetime,L,,,4,open,,Kortelės pridėjimo datos ir laiko žymė,,,,
,,,,,korteles_galiojimo_pabaiga,date,D,,,4,open,,Korteles galiojimo pabaiga,,,,
,,,,,korteles_atnaujinimo_data,datetime,L,,,4,open,,Atnaujinimo datos ir laiko žymė,,,,
,,,,,kortele_blokuota_komentaras,string,,,,4,open,,Kortelės blokavimo priežasties aprašymas,,,,
,,,,,savivaldybe,string,,,,4,open,,Kortelės pirkimo savivaldybė / miestas,,,,
,,,,,korteles_pirkimo_vietove,string,,,,4,open,,Kortelės pirkimo vietovė,,,,
,,,,,korteles_pirkimo_adresas,string,,,,4,open,,Kortelės pirkimo vietovės adresas,,,,
,,,,,,,,,,,,,,,,,
,,,,BilietuPardavimas,,,bilieto_id,,,,,,"VšĮ Žaliojo regiono elektroninių bilietų pardavimų duomenys","Lentelėje pateikti elektroninio bilieto sistemos duomenys apie elektroninių bilietų pardavimus nuo 2023 metų, teikiami VšĮ Žaliojo regiono apie Jurbarko, Šilalės, Tauragės rajonus ir Pagėgius. Informacija atnaujinama kas mėnesį. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. Dėl techninių portalo veiklos sutrikimų prašome kreiptis el. paštu atviriduomenys@vssa.lt. ",,,
,,,,,bilieto_id,string,,,,4,open,,Kortelės bilieto pirminis raktas,,,,
,,,,,bilietas,string,,,,4,open,,,,,,
,,,,,panaudotas,string,,,,4,open,,"Žyma, nurodanti, ar bilietas yra išnaudotas",,,,
,,,,,kaina,number,,,,4,open,,Bilieto kaina,,,,
,,,,,pilna_kaina,number,,,,4,open,,Bilieto pilna kaina,,,,
,,,,,bilietu_kiekis,number,,,,4,open,,Bilietų kiekis,,,,
,,,,,korteles_id,string,,,,4,open,,Kortelės išorinis raktas,,,,
,,,,,bilieto_pirkimo_data,datetime,L,,,4,open,,Bilieto pirkimo data,,,,
,,,,,bilieto_galiojimo_pradzia,datetime,L,,,4,open,,Bilieto galiojimo pradžia,,,,
,,,,,bilieto_pardavimo_vietove,string,,,,4,open,,Bilieto pardavimo vietovė,,,,
,,,,,bilieto_pardavimo_adresas,string,,,,4,open,,Bilieto pardavimo vietovės adresas,,,,
,,,,,bilieto_galiojimo_pabaiga,datetime,L,,,4,open,,Bilieto galiojimo pabaiga,,,,
