id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description,,
,datasets/gov/nsa/svis/bendrojo_ugdymo_mokyklos,,,,,,,,,,,,Bendrojo ugdymo mokyklos,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,,,
,,,,,,,,,,,,,,,,
,,,,BugdymoMokykla,,,iraso_id,,,4,,,Bendrojo ugdymo mokyklos,Lentelėje pateikiamas šiuo metu veikiančių ir istorinių Lietuvos bendrojo ugdymo mokyklų (padalinių) sąrašas iš Nacionalinės švietimo agentūros (NŠA). Duomenys atnaujinami kartą per mėnesį. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt,,
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,,,
,,,,,ins_id,string,,,,4,open,,Identifikacinis institucijos kodas Švietimo ir mokslo institucijų registre,,,
,,,,,ins_kodas,string,,,,4,open,,Institucijos kodas Juridinių asmenų registre,,,
,,,,,ins_pavad_lt,string,,,,4,open,,Institucijos pavadinimas,,,
,,,,,ins_ireg_smir_data,date,D,,,4,open,,Institucijos įregistravimo Švietimo ir mokslo institucijų registre (ŠMIR) data,,,
,,,,,ins_isreg_smir_data,date,D,,,4,open,,Institucijos išregistravimo iš Švietimo ir mokslo institucijų registro (ŠMIR) data,,,
,,,,,ins_isreg_jar_data,date,D,,,4,open,,Institucijos išregistravimo iš JAR data,,,
,,,,,ins_grupe_pav,string,,,,4,open,,Institucijos pagrindinė grupė (kategorija) iš ŠMIR,,,
,,,,,ins_pagr_tipas,string,,,,4,open,,Švietimo institucijos pagrindinis tipas,,,
,,,,,paskirciu_grupe,string,,,,4,open,,Institucijos paskirčių grupė,,,
,,,,,gyv_pavad,string,,,,4,open,,Institucijos adreso gyvenamoji vietovė (miestas),,,
,,,,,gyvenamoji_vietove,string,,,,4,open,,Gyvenamoji vietovė (miestas arba kaimas),,,
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,"Savivaldybės, kuriai priklauso gyvenamoji vietovė, identifikacinis kodas",,,
,,,,,sav_pav,string,,,,4,open,,"Savivaldybės, kuriai priklauso gyvenamoji vietovė, pavadinimas",,,
,,,,,sen_kodas,ref,"/datasets/gov/rc/ar/seniunija/Seniunija	",,,4,open,,"Seniūnijos, kuriai priklauso gyvenamoji vietovė, identifikacinis kodas",,,
,,,,,sen_pav,string,,,,4,open,,"Seniūnijos, kuriai priklauso gyvenamoji vietovė, pavadinimas",,,
,,,,,gyv_kodas,"ref	","/datasets/gov/rc/ar/gragyvenamojivietove/GraGyvenamojiVietove	",,,4,open,,Gyvenamosios vietovės identifikacinis kodas,,,
,,,,,gyv_pav,string,,,,4,open,,Gyvenamosios vietovės vardas su sutrumpintu tipu,,,
,,,,,gat_pavadinimas,string,,,,4,open,,Institucijos adreso gatvė,,,
,,,,,adr_namas,string,,,,4,open,,Žemės sklypo ir (ar) pastato numeris gatvėje arba gyvenamojoje vietovėje,,,
,,,,,aob_kodas,ref,/datasets/gov/rc/ar/adresai/Adresas,,,4,open,,"Adreso (sklypo, statinio, patalpos) identifikavimo kodas",,,
,,,,,e_koord,number,,,,4,open,,Objekto rytų ilgumos koordinatė (WGS84),,,
,,,,,n_koord,number,,,,4,open,,Objekto šiaurės platumos koordinatė (WGS84),,,
,,,,,koord_x,number,,,,4,open,,Objekto x koordinatė (LKS94),,,
,,,,,koord_y,number,,,,4,open,,Objekto y koordinatė (LKS94),,,
,,,,,prk_pavad,string,,,,4,open,,Švietimo institucijos priklausomybė,,,
,,,,,ar_padalinys,string,,,,4,open,,"Požymis, ar institucija yra kitos institucijos padalinys ( 1 - taip, padalinys; 0 - ne)",,,
,,,,,ins_motin_id,string,,,,4,open,,Motininės institucijos identifikacinis numeris,,,
,,,,,ins_motin_kodas,string,,,,4,open,,Motininės institucijos kodas Juridinių asmenų registre,,,
,,,,,ins_motin_pavad,string,,,,4,open,,Motininės institucijos pavadinimas,,,
